Country,PPCG_Donor_Id,Matching_WGS_Sample,WGS_Local_Sample_Id,PPCG_Meth_Sample_ID,Platform,Meth_Local_Sample_ID,Meth_Sample_Type,MetastaticSite,Meth_Distance_To_WGS_Sample,Meth_RNASeq_Annot,idat_grn_filename,idat_red_filename,Date_of_scan_or_Sequencing,Comments,Is_FFPE
Germany,PPCG0066,PPCG0066a_DNA,ICGC_PCA056_tumor_01,PPCG0066c_450k,450k,ICGC_PCA056_T01,TUM,NA,MATCHED,MATCHED,9534104026_R06C01_Grn.idat,9534104026_R06C01_Red.idat,2014/7/3,,
Germany,PPCG0067,PPCG0067a_DNA,ICGC_PCA057_tumor_01,PPCG0067c_450k,450k,ICGC_PCA057_T01,TUM,NA,MATCHED,MATCHED,9534104026_R01C02_Grn.idat,9534104026_R01C02_Red.idat,2014/7/3,,
Germany,PPCG0068,PPCG0068a_DNA,ICGC_PCA059_tumor_01,PPCG0068c_450k,450k,ICGC_PCA059_T01,TUM,NA,MATCHED,MATCHED,9534104026_R03C02_Grn.idat,9534104026_R03C02_Red.idat,2014/7/3,,
Germany,PPCG0069,PPCG0069a_DNA,ICGC_PCA060_tumor_01,PPCG0069c_450k,450k,ICGC_PCA060_T01,TUM,NA,MATCHED,MATCHED,9534104026_R04C02_Grn.idat,9534104026_R04C02_Red.idat,2014/7/3,,
Germany,PPCG0070,PPCG0070a_DNA,ICGC_PCA062_tumor_01,PPCG0070c_450k,450k,ICGC_PCA062_T01,TUM,NA,MATCHED,MATCHED,9534104026_R06C02_Grn.idat,9534104026_R06C02_Red.idat,2014/7/3,,
Germany,PPCG0071,PPCG0071a_DNA,ICGC_PCA064_tumor_01,PPCG0071c_450k,450k,ICGC_PCA064_T01,TUM,NA,MATCHED,MATCHED,9968646140_R02C01_Grn.idat,9968646140_R02C01_Red.idat,2014/7/4,,
Germany,PPCG0072,PPCG0072a_DNA,ICGC_PCA066_tumor_01,PPCG0072c_450k,450k,ICGC_PCA066_T01,TUM,NA,MATCHED,NA,9968646140_R05C01_Grn.idat,9968646140_R05C01_Red.idat,2014/7/4,,
Germany,PPCG0073,PPCG0073a_DNA,ICGC_PCA068_tumor_01,PPCG0073c_450k,450k,ICGC_PCA068_T01,TUM,NA,MATCHED,NA,9968646140_R01C02_Grn.idat,9968646140_R01C02_Red.idat,2014/7/4,,
Germany,PPCG0074,PPCG0074a_DNA,ICGC_PCA069_tumor_01,PPCG0074c_450k,450k,ICGC_PCA069_T01,TUM,NA,MATCHED,MATCHED,9968646140_R02C02_Grn.idat,9968646140_R02C02_Red.idat,2014/7/4,,
Germany,PPCG0075,PPCG0075a_DNA,ICGC_PCA070_tumor_01,PPCG0075c_450k,450k,ICGC_PCA070_T01,TUM,NA,MATCHED,MATCHED,9968646140_R03C02_Grn.idat,9968646140_R03C02_Red.idat,2014/7/4,,
UK,PPCG0076,PPCG0076a_DNA,PD6204a_Illumina,PPCG0076d_EPICseq,EPICseq,CRUK_PC_0001_V01_T01_L_TUM_METH_B24_HYG7FBBXX_s_7_8_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0076,PPCG0076c_DNA,PD6204c_Illumina,PPCG0076e_EPICseq,EPICseq,CRUK_PC_0001_V0N_T01_L_BEN_METH_B24_HYG7FBBXX_s_7_8_GTGAAA,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0078,PPCG0078a_DNA,PD7445a,PPCG0078i_EPICseq,EPICseq,CRUK_PC_0006_V02_T05_C_TUM_METH_B35_H5GCGBBXY_s_7_8_CAGATC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0078,PPCG0078f_DNA,PD7445f,PPCG0078j_EPICseq,EPICseq,CRUK_PC_0006_V11_T08_C_BEN_METH_B35_H5GCGBBXY_s_7_8_GTCCGC,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0078,PPCG0078b_DNA,PD7445b,PPCG0078k_450k,450k,TB08.970_BLOOD,WB,,NA,NA,8784225047_R03C02_Grn.idat,8784225047_R03C02_Red.idat,,,
UK,PPCG0078,PPCG0078f_DNA,PD7445f,PPCG0078l_450k,450k,TB08.970_V11_B,BEN,,MATCHED,NA,7973219133_R04C02_Grn.idat,7973219133_R04C02_Red.idat,,,
UK,PPCG0078,PPCG0078d_DNA,PD7445d,PPCG0078m_450k,450k,TB08.970_V20_T,TUM,,MATCHED,NA,7973219133_R06C01_Grn.idat,7973219133_R06C01_Red.idat,,,
UK,PPCG0078,PPCG0078e_DNA,PD7445e,PPCG0078n_450k,450k,TB08.970_V22_T,TUM,,MATCHED,NA,8784225047_R06C01_Grn.idat,8784225047_R06C01_Red.idat,,,
UK,PPCG0078,PPCG0078a_DNA,PD7445a,PPCG0078o_450k,450k,TB08.970_V2_T,TUM,,MATCHED,NA,7973219133_R01C01_Grn.idat,7973219133_R01C01_Red.idat,,,
UK,PPCG0078,PPCG0078a_DNA,PD7445a,PPCG0078p_450k,450k,TB08.970_V2_T13,TUM,,NEAR-MM,NA,8784225047_R04C01_Grn.idat,8784225047_R04C01_Red.idat,,,
